name,Service,address,Phone,Website,Category,zip_code,latitude,longitude,access,public_access_hours_open,public_access_hours_close,public_access_days,preference_code
East Bay Food Not Bombs,East Bay Food Not Bombs at Berkeley- Chess Club At Telegraph And Haste,"2454 Telegraph Avenue            Berkeley, CA    94704",(510) 644-4187,http://www.eastbayfoodnotbombs.org/,Food,94704,37.8658739,-122.2587955,,,,,"2,3,5"
East Bay Food Not Bombs,East Bay Food Not Bombs at Berkeley- Telegraph And Haste In Front Of Amoeba Records,"2455 Telegraph Avenue            Berkeley, CA    94704",(510) 644-4187,http://www.eastbayfoodnotbombs.org/,Food,94704,37.8659043,-122.2583433,,,,,"2,3,5"
East Bay Food Not Bombs,East Bay Food Not Bombs at Berkeley- People’S Park Mural,"2556 Haste Street            Berkeley, CA    94704",(510) 644-4187,http://www.eastbayfoodnotbombs.org/,Food,94704,37.8657751,-122.2575243,,,,,"2,3,5"
By The Bay Health,Hospice Care Services at San Francisco Office,"180 Redwood Street, Suite 350            San Francisco, CA    94102",(415) 927-2273,http://www.bythebayhealth.org/,Health,94102,37.7808525,-122.4200614,,,,,"2,3,4"
California Institute Of Integral Studies (CIIS),Counseling Services at Psychological Services Center,"507 Polk Street, Suite 420            San Francisco, CA    94102",(415) 561-0230,http://www.ciis.edu/,Health,94102,37.7814755,-122.4190744,,,,,"1,2,3,4,5"
California Institute Of Integral Studies (CIIS),Counseling Services at Golden Gate Integral Counseling Center,"507 Polk Street, Suite 450            San Francisco, CA    94102",(415) 561-0230,http://www.ciis.edu/,Health,94102,37.7815,-122.4191222,,,,,"1,2,3,4,5"
People With Disabilities Foundation,"Direct Advocacy, Education, And Public Awareness Services at Main Office","507 Polk Street, Suite 430            San Francisco, CA    94102",(415) 931-3070,http://www.pwdf.org/,Health,94102,37.7815467,-122.419168,,,,,"2,3,4,5"
San Francisco Behavioral Health Commission,Mental Health Advocacy at Main Office,"101 Grove Street, Room 309            San Francisco, CA    94102",(628) 206-7679,http://www.sf.gov/departments/behavioral-health-commission,Health,94102,37.7781003,-122.4187379,,,,,"2,3,5,6"
San Francisco Department Of Public Health,Vital Health Records (BIRTH AND DEATH RECORDS LESS THAN 3 YEARS OLD) at 101 Grove Street Room 105,"101 Grove Street, Room 105            San Francisco, CA    94102",(415) 554-2700,http://www.sfdph.org/dph/comupg/records/vitalRec/default.asp,Health,94102,37.779275,-122.4192417,,,,,"4,5"
San Francisco Department Of Public Health,Immunization And Testing at 101 Grove Street Room 105,"101 Grove Street, Room 105            San Francisco, CA    94102",(415) 554-2625,https://www.sf.gov/departments/department-public-health,Health,94102,37.779275,-122.4192417,,,,,"4,5"
San Francisco Department Of Public Health,Disease Prevention And Control at 101 Grove Street Room 406,"101 Grove Street, Room 406            San Francisco, CA    94102",(415) 554-2955,http://www.sfcdcp.org/,Health,94102,37.7781003,-122.4187379,,,,,"4,5"
Front Porch,Well Connected – Front Porch at Well Connected/Social Call,"No Physical Address.            ,",(877) 797-7299,https://frontporch.net/connect/#well-connected,Health,,,,,,,,"3,6"
Curry Senior Center,Senior Center Programs at Technogy Wellness Hub,"520 Turk Street            San Francisco, CA    94102",(415) 920-1351,http://www.curryseniorcenter.org/,Health,94102,37.7824636,-122.417607,,,,,
Portsmouth Square Clubhouse,,745 Kearny St,,,restroom,94108,37.79502053,-122.405339,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,4,5"
Alioto Mini Park - Drinking Fountain,,3460 20th St,,,drinking_water,94110,37.7589939,-122.4182306,limited_access,8:00:00,20:00:00,Daily,"2,3,4,6"
Garfield Children's Play Area Path,,,,,drinking_water,,37.76460916,-122.4094857,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,4,5"
Mission Pit Stop - 344 14th St.,,344 14th St.,,,restroom,,37.7682576,-122.4210014,publicly_accessible,,,,"1,2,3"
Park Branch Library,,1833 Page St,,,drinking_water,94117,37.77013552,-122.4510012,limited_access,,,Daily,"2,3,4,5,6"
Rochambeau Clubhouse,,250 25th Ave,,,restroom,94121,37.78501371,-122.4845445,publicly_accessible,8:00:00,20:00:00,Daily,4
Beach Chalet,,501 Stanyan St,,,restroom,94121,37.76959001,-122.5101144,limited_access,8:00:00,20:00:00,Daily,"3,4"
Rec Center,,650 Capitol Ave,,,restroom,94112,37.71630766,-122.4574613,publicly_accessible,8:00:00,20:00:00,Daily,"2,4,6"
Drinking Fountain,,,,,drinking_water,,37.76845387,-122.4570485,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,6"
Bike Park Bottle Filling station,,,,,drinking_water,,37.71402187,-122.4231507,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,4"
Drinking Fountain/Cooler,,,,,drinking_water,,37.7958357,-122.4104356,publicly_accessible,8:00:00,20:00:00,Daily,"2,4,5,6"
Mountain Lake Park - Drinking Fountain/Cooler,,1 11th Ave,,,drinking_water,94118,37.78697197,-122.4677997,publicly_accessible,8:00:00,20:00:00,Daily,"2,3,4,5"
McLaren Bike Restroom,,,,,restroom,94134,37.71413459,-122.4232911,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,3"
DiMaggio Path Drinking Fountain,,,,,drinking_water,,37.80261305,-122.4120477,publicly_accessible,8:00:00,20:00:00,Daily,"2,4,6"
Kimball Path Bottle filling station,,,,,drinking_water,,37.78286564,-122.4345228,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,3,4,5"
Sunnyside Playground - Drinking Fountain/Cooler,,233 Melrose Avenue,,,drinking_water,94127,37.73385637,-122.4481992,publicly_accessible,8:00:00,20:00:00,Daily,"1,4,6"
Christopher Clubhouse,,5210 Diamond Heights Blvd,,,restroom,94131,37.74402067,-122.4402681,publicly_accessible,8:00:00,20:00:00,Daily,"1,4,5"
Coffman Pool,,1701 Visitacion Ave,,,restroom,94134,37.71335159,-122.4157237,publicly_accessible,8:00:00,20:00:00,Daily,"2,6"
Restroom,,2354 24th Ave,,,restroom,94116,37.74353236,-122.4809213,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,3,4,6"
Potrero Hill Rec Center - Drinking Fountain/Cooler,,801 Arkansas St,,,drinking_water,94107,37.75609621,-122.3968377,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,4"
Marina Branch Library,,1890 Chestnut St,,,drinking_water,94123,37.80137363,-122.4341357,limited_access,,,Daily,"1,2,3,4,6"
Jose Coronado Playground - Drinking Fountain/Cooler,,2498 Folsom St,,,drinking_water,94110,37.75767699,-122.4150985,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,5,6"
McLaren Redwood Grove Drinking Fountain,,,,,drinking_water,,37.72209608,-122.4206478,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,4,5,6"
Western Addition Branch Library,,1550 Scott St,,,drinking_water,94115,37.78411852,-122.4374893,limited_access,,,Daily,"1,2,5"
Hayes Valley Clubhouse,,689 Hayes St,,,restroom,94102,37.77590946,-122.4276595,publicly_accessible,8:00:00,20:00:00,Daily,"1,5,6"
Marina Green West Restroom,,1 Marina Green Dr,,,restroom,94123,37.80567366,-122.4482625,publicly_accessible,8:00:00,20:00:00,Daily,"2,4,5"
Camp Mather - Drinking fountain,,32560 Mather Road,,,drinking_water,95321,37.88044626,-119.8511069,publicly_accessible,8:00:00,20:00:00,Daily,"1,4,5,6"
West Portal Branch Library,,190 Lenox Way,,,drinking_water,94127,37.74137019,-122.466144,limited_access,,,Daily,"1,6"
Harbormasters Office (Old),,1 Marina Green Dr,,,restroom,94123,37.80663634,-122.4426215,limited_access,8:00:00,20:00:00,Daily,"1,2,6"
Ferry Building,,1 Ferry Building,,,drinking_water,94111,37.79542,-122.39363,limited_access,7:00:00,22:00:00,Daily,"1,4,5"
Balboa Pool,,51 Havelock St,,,restroom,94112,37.72640027,-122.4432359,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,4,5"
Louis Sutter Playground - Drinking Fountain,,599 Yale St,,,drinking_water,94134,37.72247859,-122.41424,publicly_accessible,8:00:00,20:00:00,Daily,"2,5"
South Beach Harbor,,Pier 40A The Embarcadero,,,drinking_water,94107,37.7803467,-122.3877,publicly_accessible,,,Daily,"1,2,3"
Betty Ann Ong Rec Center,,1101 Washington St,,,restroom,94108,37.79427381,-122.4116906,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,4"
Noe Valley Branch Library,,451 Jersey St,,,drinking_water,94114,37.75022804,-122.4350902,limited_access,,,Daily,"1,5,6"
Shipwright's Cottage,,900 Innes St,,,restroom,94124,37.73226037,-122.375771,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,6"
Golden Gate Park - Section 5 - Drinking Fountain/Cooler,,Golden Gate Park,,,drinking_water,94122,37.77055703,-122.4801412,publicly_accessible,8:00:00,20:00:00,Daily,"3,4,6"
Restrooms,,2501 Jackson St,,,restroom,94115,37.79124662,-122.4381677,publicly_accessible,8:00:00,20:00:00,Daily,"2,6"
Hayes Valley Playground - Drinking Fountain/Cooler,,689 Hayes St,,,drinking_water,94102,37.7760696,-122.4274129,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,5,6"
Restrooms,,5701 3rd St,,,restroom,94124,37.72556146,-122.3930333,publicly_accessible,8:00:00,20:00:00,Daily,"2,6"
Restrooms,,1081 Fulton St,,,restroom,94117,37.77662045,-122.4339107,publicly_accessible,8:00:00,20:00:00,Daily,"2,6"
Drinking Fountain/Cooler,,,,,drinking_water,,37.71271954,-122.4086912,publicly_accessible,8:00:00,20:00:00,Daily,"2,4,5,6"
Presidio Heights Clubhouse,,3437 Clay St,,,restroom,94118,37.78848315,-122.4498302,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,3,4"
"Mid-Market Pit Stop - Market Street, between Hyde and 7th streets",,"Market Street, between Hyde and 7th streets",,,restroom,,37.7797652,-122.4136255,publicly_accessible,,,,"1,2,4"
George Christopher Playground - Drinking Fountain/Cooler,,5210 Diamond Heights Blvd,,,drinking_water,94131,37.74424931,-122.4403607,publicly_accessible,8:00:00,20:00:00,Daily,"2,5,6"
Salvation Army Headquarters,,832 Folsom Ave,,,drinking_water,94107,37.7814174,-122.4020001,publicly_accessible,,,Daily,"1,4,5,6"
Restroom,,1098 Douglass St,,,restroom,94131,37.74628317,-122.4396818,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,3,4,6"
Crocker Amazon Playground - Drinking Fountain/Cooler,,799 Moscow St,,,drinking_water,94134,37.71440079,-122.4288625,publicly_accessible,8:00:00,20:00:00,Daily,"1,6"
Woh Hei Yuen Clubhouse,,922 Jackson St,,,restroom,94133,37.79566306,-122.4103601,publicly_accessible,8:00:00,20:00:00,Daily,1
Portsmouth Square - Drinking Fountain/Cooler,,745 Kearny St,,,drinking_water,94108,37.79508453,-122.4053847,publicly_accessible,8:00:00,20:00:00,Daily,
Joseph Lee Rec Center,,1551 Newcomb Ave,,,restroom,94124,37.73468676,-122.3894826,publicly_accessible,8:00:00,20:00:00,Daily,"2,4,5,6"
Youngblood-Coleman Playground - Drinking Fountain/Cooler,,1398 Hudson Ave,,,drinking_water,94124,37.73918604,-122.3856264,publicly_accessible,8:00:00,20:00:00,Daily,"1,4"
Golden Gate Park - Section 6 - Drinking Fountain/Cooler,,501 Stanyan St,,,drinking_water,94121,37.76453537,-122.5049956,publicly_accessible,8:00:00,20:00:00,Daily,"2,3,4,6"
J. P. Murphy Clubhouse,,1960 9th Ave,,,restroom,94116,37.75156403,-122.4652226,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,3,4"
Alice Chalmers Playground - Drinking Fountain,,670 Brunswick St,,,drinking_water,94112,37.70975597,-122.4467857,publicly_accessible,8:00:00,20:00:00,Daily,"2,3"
Kezar Turf Drinking fountain,,,,,drinking_water,,37.76724865,-122.4568031,publicly_accessible,8:00:00,20:00:00,Daily,"4,5"
DuPont Tennis Courts - Drinking Fountain/Cooler,,336 31st Ave,,,drinking_water,94121,37.78286237,-122.4908413,publicly_accessible,8:00:00,20:00:00,Daily,"2,3,5"
Buena Vista Park - Drinking Fountain/Cooler,,1293 Haight St,,,drinking_water,94117,37.76985328,-122.4396065,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,6"
Palega Playground - Drinking Fountain/Cooler,,500 Felton St,,,drinking_water,94134,37.72905284,-122.410242,publicly_accessible,8:00:00,20:00:00,Daily,"1,6"
Trocadero Clubhouse,,2899 19th Ave,,,restroom,94132,37.73617235,-122.4779173,publicly_accessible,8:00:00,20:00:00,Daily,"1,5"
Drinking Fountain,,,,,drinking_water,,37.77212148,-122.4477341,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,6"
Pier 70,,525 20th St,,,restroom,94107,37.76059,-122.38563,limited_access,9:00:00,17:00:00,Daily,"1,5,6"
Restrooms,,993 Gilman Ave,,,restroom,94124,37.71718344,-122.3887859,publicly_accessible,8:00:00,20:00:00,Daily,"2,6"
Southeast Community Center Water Fountain,,1550 Evans Ave,,,drinking_water,94124,37.742691,-122.387441,limited_access,7:00:00,19:00:00,Weekdays,1
Peixotto Clubhouse,,2475 15th St,,,restroom,94114,37.76561027,-122.4375749,publicly_accessible,8:00:00,20:00:00,Daily,
Camp Mather - Horseshoe pits spigot,,32560 Mather Road,,,drinking_water,95321,37.88207654,-119.8508023,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,4"
China Basin Park Water Fountain #2,,1 China Basin Park,,,drinking_water,94107,37.776332,-122.388487,publicly_accessible,,,Daily,"2,4,6"
Golden Gate Valley Branch Library,,1801 Green St,,,drinking_water,94123,37.79678883,-122.4290235,limited_access,,,Daily,"3,4,6"
Precita Park - Drinking Fountain/Cooler,,3200 Folsom St,,,drinking_water,94110,37.74686045,-122.4132564,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,3,4,6"
Restrooms,,122 States St,,,restroom,94114,37.76376981,-122.4385825,publicly_accessible,8:00:00,20:00:00,Daily,"2,6"
Noe Valley Courts - Drinking Fountain/Cooler,,780 Douglass St,,,drinking_water,94114,37.75145679,-122.4389459,publicly_accessible,8:00:00,20:00:00,Daily,"4,5,6"
Camp Mather - Horseshoe pits spigot,,32560 Mather Road,,,drinking_water,95321,37.88318052,-119.857376,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,4"
Beach Chalet Soccer South Path,,,,,drinking_water,,37.76609581,-122.5084435,publicly_accessible,8:00:00,20:00:00,Daily,"1,5"
Upper Noe Rec Center,,295 Day St,,,restroom,94131,37.74244647,-122.4284339,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,6"
Alta Plaza Park - Drinking Fountain/Cooler,,2501 Jackson St,,,drinking_water,94115,37.79124004,-122.4381973,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,4,6"
Father Alfred E. Boeddeker Park - Drinking Fountain/Cooler,,246 Eddy St,,,drinking_water,94102,37.78433308,-122.4122083,publicly_accessible,8:00:00,20:00:00,Daily,"1,4"
Annex Restrooms,,600 Arguello Blvd,,,restroom,94118,37.77798753,-122.4576712,publicly_accessible,8:00:00,20:00:00,Daily,"2,3,5"
Mothers Meadow Drinking fountain,,,,,drinking_water,,37.76634792,-122.4766338,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,3,4,6"
Visitacion Valley Branch Library,,201 Leland Ave,,,drinking_water,94134,37.71245321,-122.4078842,limited_access,,,Daily,"1,6"
Camp Mather - Upper Shang spigot,,32560 Mather Road,,,drinking_water,95321,37.88206154,-119.8543755,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,6"
Restrooms,,2745 Larkin St,,,restroom,94109,37.80355247,-122.4212436,publicly_accessible,8:00:00,20:00:00,Daily,"2,6"
Sava Pool,,2695 19th Ave,,,restroom,94116,37.73785746,-122.4757116,publicly_accessible,8:00:00,20:00:00,Daily,"3,5,6"
Ball Diamond 1 Grandstand,,799 Moscow St,,,restroom,94134,37.71496823,-122.4318982,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,3,4,5"
Tennis Center Bottle filling station,,,,,drinking_water,,37.77057774,-122.4586807,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,4,5,6"
West Restroom,,51 Havelock St,,,restroom,94112,37.72515056,-122.4455297,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,6"
Ocean Beach Pit Stop - Great Highway near Beach Chalet,,Great Highway near Beach Chalet,,,restroom,,37.7675953,-122.5107794,publicly_accessible,,,,"1,3,6"
Presidio Heights Playground - Drinking Fountain/Cooler,,3437 Clay St,,,drinking_water,94118,37.7885318,-122.4497958,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,5"
Polo Field Restroom,,501 Stanyan St,,,restroom,94122,37.76678654,-122.4927932,publicly_accessible,8:00:00,20:00:00,Daily,"3,6"
Gleneagles Golf Course Clubhouse,,,,,restroom,94134,37.71599531,-122.424564,publicly_accessible,8:00:00,20:00:00,Daily,"1,3"
Francisco Path Drinking Fountain,,,,,drinking_water,,37.80361481,-122.4212704,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,4,6"
Drinking Fountain,,,,,drinking_water,,37.7139251,-122.416327,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,6"
Dog bowl,,,,,drinking_water,,37.72751923,-122.3678938,publicly_accessible,8:00:00,20:00:00,Daily,"3,4,6"
Golden Gate Park - Section 6 - Drinking Fountain/Cooler,,Golden Gate Park,,,drinking_water,94132,37.7668042,-122.5081866,publicly_accessible,8:00:00,20:00:00,Daily,"2,3,4,6"
Palace of Fine Arts - Drinking Fountain/Cooler,,3601 Lyon St,,,drinking_water,94123,37.80168741,-122.4479125,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,3,4,6"
Bayfront Park ##2,,"Terry A Francois Blvd, Mission Bay",,,drinking_water,94158,37.769266,-122.385705,,,,,"1,2,3,4,5"
Garfield Square Clubhouse,,3100 26th St,,,restroom,94110,37.74990574,-122.4123439,publicly_accessible,8:00:00,20:00:00,Daily,"3,4"
Raymond Kimball Playground - Drinking Fountain/Cooler,,1901 Geary Blvd,,,drinking_water,94115,37.78248808,-122.4355881,publicly_accessible,8:00:00,20:00:00,Daily,
Union Square - Drinking Fountain/Cooler,,333 Post St,,,drinking_water,94108,37.78787928,-122.4069774,publicly_accessible,8:00:00,20:00:00,Daily,"1,4"
Douglass Playground - Drinking Fountain/Cooler,,1098 Douglass St,,,drinking_water,94131,37.7479179,-122.4384018,limited_access,8:00:00,20:00:00,Daily,"3,4,5"
Bayfront Park #1,,"Terry A Francois Blvd, Mission Bay",,,drinking_water,94158,37.767503,-122.386062,,,,,"1,4,5,6"
GGP 5 Dog Play Area Drinking Fountain,,,,,drinking_water,,37.77094118,-122.4990186,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,4,5"
Restroom,,2 Willie B Kennedy Dr,,,restroom,94124,37.7330716,-122.3825778,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,3,4,6"
China Basin Park Water Fountain #3,,1 China Basin Park,,,drinking_water,94107,37.776004,-122.388026,publicly_accessible,,,Daily,"1,2,3,4"
Mission Rec Center,,2450 Harrison St,,,restroom,94110,37.75822049,-122.4127977,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,3"
Restrooms,,745 Kearny St,,,restroom,94108,37.7946114,-122.4056381,publicly_accessible,8:00:00,20:00:00,Daily,"2,6"
Bocce Ball Courts,,799 Moscow St,,,restroom,94134,37.71489676,-122.4320429,publicly_accessible,8:00:00,20:00:00,Daily,"4,6"
Alley of Humanitarian Drinking fountain,,,,,drinking_water,,37.77256947,-122.4643406,publicly_accessible,8:00:00,20:00:00,Daily,"1,3,5,6"
Pier 7,,Pier 7 on the Embarcadero,,,drinking_water,94105,37.79897,-122.39703,publicly_accessible,,,Daily,"3,4"
Mid-Market Pit Stop - Hallidie Plaza (JCDecaux),,Hallidie Plaza (JCDecaux),,,restroom,,37.7844142,-122.4077797,publicly_accessible,,,,"3,4,5"
Victoria Manalo Draves Park - Drinking Fountain/Cooler,,55 Sherman St,,,drinking_water,94103,37.77712702,-122.406189,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,3,5"
Parkside Branch Library,,1200 Taraval St,,,drinking_water,94116,37.74316236,-122.4793451,limited_access,,,Daily,"1,2,3,4,5,6"
Haight Pit Stop - Buena Vista Avenue East & Haight Street Temporarily closed for maintenance and repairs. Back in service on April 7.,,Buena Vista Avenue East & Haight Street Temporarily closed for maintenance and repairs. Back in service on April 7.,,,restroom,,37.7708518,-122.4403874,publicly_accessible,,,,"2,5"
Mission Art Center,,2450 Harrison St,,,restroom,94110,37.75808872,-122.4134437,publicly_accessible,8:00:00,20:00:00,Daily,3
Excelsior Branch Library,,4400 Mission St,,,drinking_water,94112,37.72713052,-122.4333154,limited_access,,,Daily,3
Mountain Lake Park - Drinking Fountain/Cooler,,1 11th Ave,,,drinking_water,94118,37.78685506,-122.4704291,publicly_accessible,8:00:00,20:00:00,Daily,"2,3,4,5"
McLaren Bike Muni Restroom,,,,,restroom,94134,37.71408971,-122.4233165,publicly_accessible,8:00:00,20:00:00,Daily,"1,4,6"
Jerry Garcia Amphitheatre Restroom,,,,,restroom,94134,37.72238988,-122.4143869,publicly_accessible,8:00:00,20:00:00,Daily,"3,4,5,6"
Chain of Lakes Restroom,,501 Stanyan St,,,restroom,94121,37.76797549,-122.5018187,publicly_accessible,8:00:00,20:00:00,Daily,"1,6"
Cabrillo Playground - Drinking Fountain/Cooler,,851 38th Ave,,,drinking_water,94121,37.77297409,-122.4990083,publicly_accessible,8:00:00,20:00:00,Daily,"4,6"
Alamo Square - Drinking Fountain/Cooler,,1081 Fulton St,,,drinking_water,94117,37.77571849,-122.4346182,publicly_accessible,8:00:00,20:00:00,Daily,"1,5,6"
Merced Heights Playground - Drinking Fountain/Cooler,,801 Shields St,,,drinking_water,94132,37.7174815,-122.4703842,publicly_accessible,8:00:00,20:00:00,Daily,"2,4"
Golden Gate Park - Section 6 - Drinking Fountain/Cooler,,501 Stanyan St,,,drinking_water,94121,37.76799815,-122.5082134,publicly_accessible,8:00:00,20:00:00,Daily,"2,3,4,6"
Bottle filler,,,,,drinking_water,,37.76918435,-122.5065031,publicly_accessible,8:00:00,20:00:00,Daily,1
Sunset Rec Center - Drinking Fountain/Cooler,,2201 Lawton St,,,drinking_water,94122,37.75712697,-122.4869158,publicly_accessible,8:00:00,20:00:00,Daily,"1,2,3,4,5"
Parkside Square - Drinking Fountain/Cooler,,2680 28th Ave,,,drinking_water,94132,37.73787943,-122.4846381,limited_access,8:00:00,20:00:00,Daily,"1,2"
Alamo Square - Alamo Path Drinking Fountain,,1081 Fulton St,,,drinking_water,94117,37.7766746,-122.433905,publicly_accessible,8:00:00,20:00:00,Daily,5
Sunnyside Conservatory - Drinking Fountain/Cooler,,236 Monterey Blvd,,,drinking_water,94131,37.73193828,-122.4407405,publicly_accessible,8:00:00,20:00:00,Daily,"1,4,6"
"Little Embarcadero, J C Decaux",,The Embarcadero,,,restroom,94133,37.808738,-122.412697,publicly_accessible,,,Daily,"1,2,4,5"
Bernal Heights Branch Library,,500 Cortland Ave,,,drinking_water,94110,37.73885128,-122.4161052,limited_access,,,Daily,"1,5"
Camp Mather - Drinking fountain,,32560 Mather Road,,,drinking_water,95321,37.87913901,-119.851766,publicly_accessible,8:00:00,20:00:00,Daily,"1,4,5,6"
Robin Williams Meadow Restroom,,501 Stanyan St,,,restroom,94122,37.76820061,-122.4589463,publicly_accessible,8:00:00,20:00:00,Daily,"2,5"
Camp Mather - Ballfield spigot,,32560 Mather Road,,,drinking_water,95321,37.88225252,-119.857539,publicly_accessible,8:00:00,20:00:00,Daily,"3,4"
India Basin Park,,"San Francisco Bay Trail, India Basin",,,drinking_water,94124,37.735292,-122.376172,publicly_accessible,,,Daily,"1,2,4,5"
Minnie and Lovie Children's Play Area Drinking Fountain,,,,,drinking_water,,37.71638274,-122.458208,limited_access,8:00:00,20:00:00,Daily,"1,4,5,6"
